Gender,Age,Openness,Neuroticism,Conscientiousness,Agreeableness,Extraversion,Personality (Class label),CV_Text
Male,28,4,7,4,7,6,Dependable,Reliable project manager with a track record of meeting deadlines and ensuring team efficiency.
Female,21,6,5,6,6,5,Lively,Creative marketing professional with a passion for social media campaigns and brand engagement.
Male,20,7,6,6,5,5,Lively,Creative marketing professional with a passion for social media campaigns and brand engagement.
Female,19,6,5,7,5,4,Lively,Creative marketing professional with a passion for social media campaigns and brand engagement.
Male,18,6,7,4,6,7,Dependable,Reliable project manager with a track record of meeting deadlines and ensuring team efficiency.
Female,29,7,4,7,4,5,Lively,Creative marketing professional with a passion for social media campaigns and brand engagement.
Female,30,6,5,6,6,5,Lively,Creative marketing professional with a passion for social media campaigns and brand engagement.
Female,28,6,7,5,4,3,Dependable,Medical assistant with a caring nature and attention to detail in patient care.
Female,25,7,3,5,2,3,Responsible,Bank teller handling financial transactions with accuracy and professionalism.
Female,20,6,7,4,7,4,Extraverted,Energetic event coordinator with experience in organizing corporate conferences and social gatherings.
Female,30,6,5,3,4,3,Responsible,"Legal assistant with experience in case research, documentation, and maintaining confidentiality."
Male,21,6,7,5,5,2,Extraverted,Dynamic sales professional with strong networking skills and a passion for public speaking.
Female,26,6,6,7,4,5,Lively,Medical assistant with a caring nature and attention to detail in patient care.
Female,26,6,5,3,6,3,Responsible,"Legal assistant with experience in case research, documentation, and maintaining confidentiality."
Female,23,6,6,6,4,4,Responsible,Supply chain manager ensuring smooth logistics and inventory control.
Female,18,5,6,6,5,2,Responsible,Supply chain manager ensuring smooth logistics and inventory control.
Female,27,6,7,3,6,5,Serious,Dedicated software engineer with a structured approach to coding and system optimization.
Female,22,4,4,4,4,5,Responsible,"Legal assistant with experience in case research, documentation, and maintaining confidentiality."
Male,23,6,6,7,5,3,Lively,Fitness coach who thrives on motivating clients and promoting healthy lifestyles.
Female,19,6,6,2,5,6,Serious,Dedicated software engineer with a structured approach to coding and system optimization.
Female,28,6,7,4,6,4,Dependable,"HR specialist known for strong organization, employee relations, and policy implementation."
Male,24,7,6,7,6,5,Extraverted,Customer service specialist with a friendly attitude and excellent communication skills.
Male,26,6,6,5,5,2,Serious,Research analyst with a strong focus on data accuracy and strategic problem-solving.
Male,24,6,6,5,5,7,Dependable,Reliable project manager with a track record of meeting deadlines and ensuring team efficiency.
Male,26,7,5,7,4,3,Extraverted,Dynamic sales professional with strong networking skills and a passion for public speaking.
Female,18,6,7,3,6,6,Serious,Dedicated software engineer with a structured approach to coding and system optimization.
Female,20,4,7,5,7,3,Extraverted,Energetic event coordinator with experience in organizing corporate conferences and social gatherings.
Female,25,6,3,7,2,5,Responsible,Bank teller handling financial transactions with accuracy and professionalism.
Female,23,5,4,5,4,3,Responsible,"Legal assistant with experience in case research, documentation, and maintaining confidentiality."
Female,18,7,4,5,3,3,Responsible,Bank teller handling financial transactions with accuracy and professionalism.
Female,18,7,7,2,5,4,Serious,Dedicated software engineer with a structured approach to coding and system optimization.
Male,24,7,3,7,3,1,Extraverted,Dynamic sales professional with strong networking skills and a passion for public speaking.
Male,21,7,5,6,6,5,Lively,Creative marketing professional with a passion for social media campaigns and brand engagement.
Female,27,7,6,5,3,2,Dependable,Medical assistant with a caring nature and attention to detail in patient care.
Male,21,6,7,6,6,2,Serious,Research analyst with a strong focus on data accuracy and strategic problem-solving.
Male,30,3,5,5,4,5,Extraverted,Fitness coach who thrives on motivating clients and promoting healthy lifestyles.
Female,29,7,4,6,5,3,Lively,Creative marketing professional with a passion for social media campaigns and brand engagement.
Female,23,7,7,5,4,2,Dependable,Medical assistant with a caring nature and attention to detail in patient care.
Female,18,7,7,5,4,3,Responsible,Supply chain manager ensuring smooth logistics and inventory control.
Male,24,7,3,7,2,2,Extraverted,Dynamic sales professional with strong networking skills and a passion for public speaking.
Male,20,3,5,5,6,6,Serious,Detail-oriented accountant with expertise in financial reporting and budget management.
Male,17,5,5,3,3,7,Extraverted,Fitness coach who thrives on motivating clients and promoting healthy lifestyles.
Male,28,4,6,4,6,7,Serious,Detail-oriented accountant with expertise in financial reporting and budget management.
Female,22,4,5,4,5,5,Responsible,"Legal assistant with experience in case research, documentation, and maintaining confidentiality."
Male,29,5,5,4,5,6,Serious,Detail-oriented accountant with expertise in financial reporting and budget management.
Female,28,7,6,3,6,5,Serious,Dedicated software engineer with a structured approach to coding and system optimization.
Female,20,7,4,6,2,5,Responsible,Bank teller handling financial transactions with accuracy and professionalism.
Female,30,7,7,5,4,6,Dependable,"HR specialist known for strong organization, employee relations, and policy implementation."
Female,30,7,7,6,5,4,Dependable,"HR specialist known for strong organization, employee relations, and policy implementation."
Female,28,6,5,6,3,3,Responsible,Bank teller handling financial transactions with accuracy and professionalism.
Male,30,6,7,6,5,6,Dependable,Reliable project manager with a track record of meeting deadlines and ensuring team efficiency.
Female,20,5,7,7,4,2,Responsible,Supply chain manager ensuring smooth logistics and inventory control.
Male,26,7,6,6,6,2,Serious,Research analyst with a strong focus on data accuracy and strategic problem-solving.
Female,29,7,6,5,4,4,Dependable,"HR specialist known for strong organization, employee relations, and policy implementation."
Male,25,7,5,7,6,6,Extraverted,Customer service specialist with a friendly attitude and excellent communication skills.
Female,21,4,5,7,3,2,Extraverted,Customer service specialist with a friendly attitude and excellent communication skills.
Female,25,6,6,7,5,6,Lively,Medical assistant with a caring nature and attention to detail in patient care.
Male,19,6,7,5,6,3,Serious,Research analyst with a strong focus on data accuracy and strategic problem-solving.
Male,28,3,5,3,7,7,Serious,Detail-oriented accountant with expertise in financial reporting and budget management.
Female,23,7,7,5,4,2,Responsible,Supply chain manager ensuring smooth logistics and inventory control.
Male,24,6,7,6,5,3,Serious,Research analyst with a strong focus on data accuracy and strategic problem-solving.
Female,30,4,5,3,3,3,Extraverted,Energetic event coordinator with experience in organizing corporate conferences and social gatherings.
Female,22,7,7,5,4,6,Dependable,"HR specialist known for strong organization, employee relations, and policy implementation."
Male,24,5,5,3,2,6,Extraverted,Fitness coach who thrives on motivating clients and promoting healthy lifestyles.
Female,26,5,6,5,3,1,Dependable,Medical assistant with a caring nature and attention to detail in patient care.
Female,22,6,6,6,3,4,Lively,Medical assistant with a caring nature and attention to detail in patient care.
Female,21,7,5,6,6,3,Lively,Creative marketing professional with a passion for social media campaigns and brand engagement.
Female,17,7,3,5,4,5,Responsible,Bank teller handling financial transactions with accuracy and professionalism.
Female,22,6,5,6,5,2,Extraverted,Customer service specialist with a friendly attitude and excellent communication skills.
Male,24,6,7,4,5,7,Dependable,Reliable project manager with a track record of meeting deadlines and ensuring team efficiency.
Male,23,4,6,5,3,7,Extraverted,Fitness coach who thrives on motivating clients and promoting healthy lifestyles.
Female,17,5,6,5,4,3,Dependable,Medical assistant with a caring nature and attention to detail in patient care.
Female,23,6,6,6,6,4,Dependable,"HR specialist known for strong organization, employee relations, and policy implementation."
Male,20,6,7,5,4,5,Lively,Creative marketing professional with a passion for social media campaigns and brand engagement.
Male,17,6,7,4,7,2,Serious,Research analyst with a strong focus on data accuracy and strategic problem-solving.
Female,23,6,7,1,7,5,Serious,Dedicated software engineer with a structured approach to coding and system optimization.
Male,21,4,7,7,6,3,Lively,Fitness coach who thrives on motivating clients and promoting healthy lifestyles.
Male,22,5,5,3,5,3,Extraverted,Dynamic sales professional with strong networking skills and a passion for public speaking.
Female,23,7,6,5,6,5,Dependable,"HR specialist known for strong organization, employee relations, and policy implementation."
Male,27,5,6,5,7,5,Serious,Detail-oriented accountant with expertise in financial reporting and budget management.
Female,18,6,4,7,4,4,Lively,Medical assistant with a caring nature and attention to detail in patient care.
Female,29,5,5,6,7,5,Extraverted,Energetic event coordinator with experience in organizing corporate conferences and social gatherings.
Male,24,4,6,4,5,7,Serious,Detail-oriented accountant with expertise in financial reporting and budget management.
Male,30,7,7,7,7,5,Extraverted,Customer service specialist with a friendly attitude and excellent communication skills.
Male,19,7,7,6,7,4,Serious,Research analyst with a strong focus on data accuracy and strategic problem-solving.
Female,18,6,7,5,4,4,Dependable,"HR specialist known for strong organization, employee relations, and policy implementation."
Female,29,5,5,4,5,5,Responsible,"Legal assistant with experience in case research, documentation, and maintaining confidentiality."
Female,22,5,4,7,3,5,Lively,Medical assistant with a caring nature and attention to detail in patient care.
Female,21,7,5,5,5,3,Lively,Creative marketing professional with a passion for social media campaigns and brand engagement.
Male,22,4,4,5,7,5,Serious,Detail-oriented accountant with expertise in financial reporting and budget management.
Male,20,6,7,5,5,2,Serious,Research analyst with a strong focus on data accuracy and strategic problem-solving.
Female,19,6,5,3,5,6,Dependable,"HR specialist known for strong organization, employee relations, and policy implementation."
Female,21,6,7,4,3,1,Dependable,Medical assistant with a caring nature and attention to detail in patient care.
Male,22,3,4,5,5,7,Serious,Detail-oriented accountant with expertise in financial reporting and budget management.
Female,19,7,5,7,6,5,Lively,Creative marketing professional with a passion for social media campaigns and brand engagement.
Female,28,7,6,3,6,4,Dependable,"HR specialist known for strong organization, employee relations, and policy implementation."
Male,20,7,5,6,5,6,Lively,Creative marketing professional with a passion for social media campaigns and brand engagement.
Female,24,4,6,3,3,2,Extraverted,Energetic event coordinator with experience in organizing corporate conferences and social gatherings.
Male,30,7,5,7,3,3,Extraverted,Dynamic sales professional with strong networking skills and a passion for public speaking.
Female,30,5,6,6,3,3,Responsible,Supply chain manager ensuring smooth logistics and inventory control.
Male,21,7,7,7,5,6,Lively,Creative marketing professional with a passion for social media campaigns and brand engagement.
Male,18,7,6,4,7,3,Serious,Research analyst with a strong focus on data accuracy and strategic problem-solving.
Female,24,4,5,5,4,4,Responsible,"Legal assistant with experience in case research, documentation, and maintaining confidentiality."
Male,23,7,7,6,7,2,Serious,Research analyst with a strong focus on data accuracy and strategic problem-solving.
